y_true_0,y_true_1,y_true_2,y_true_3,y_true_4,y_true_5
5.230529412777350728e+00,1.013598637143982906e+00,5.269637323236774051e+01,1.349029503021333953e+00,2.225242217100358033e+01,1.216732898433493970e+00
1.276173149168504928e+01,1.675020800131943099e+00,2.868927891698787107e+02,1.925840608089679939e+00,1.306029544712544066e+02,1.826560258109886092e+00
1.962245868617328881e+01,1.008187423397715055e+00,1.242370022586961937e+02,1.202338772650511034e+00,6.003629732976862243e+01,1.095022455643896997e+00
1.608612202854934026e+01,1.675958018826154916e+00,3.312631439089644800e+02,1.901207395935575084e+00,1.563080478044722099e+02,1.798221957389025016e+00
1.650149725516146049e+01,1.032745000789051071e+00,1.254815758675449047e+02,1.235030390808919964e+00,5.609037714710439815e+01,1.124536947946886967e+00
3.826583563557964141e+00,1.012167064137327932e+00,4.205551959019533825e+01,1.399264702158190099e+00,1.754962338862016935e+01,1.270941372191833008e+00
1.452268016333129985e+01,1.208117773724967980e+00,1.459129664646017943e+02,1.353851140011063992e+00,7.038215699645900258e+01,1.315345583389949002e+00
1.710595677285473926e+01,1.007052542764905967e+00,1.099371027308391007e+02,1.227404371812105932e+00,5.221376252072124657e+01,1.114056566468170084e+00
1.779379734292776050e+01,1.017983246117813101e+00,1.237241843415008020e+02,1.212847139088726989e+00,5.754867986675193947e+01,1.105004101152764928e+00
1.309856812941803916e+01,1.118606666425614016e+00,1.298329376904914909e+02,1.323822725748954987e+00,5.525312775434117185e+01,1.231116982866413023e+00
1.538018419300471962e+01,1.009261864837533995e+00,1.001231777708373016e+02,1.280215346627411099e+00,4.618026895420415912e+01,1.142752806435259894e+00
1.577549589058354051e+01,1.016911740794284036e+00,1.123248831897836055e+02,1.228517723445951004e+00,5.165910743774529834e+01,1.117371736221596024e+00
1.618415581151255012e+01,1.006563312422843026e+00,1.050427800528943010e+02,1.235286602599908967e+00,4.958781058868706992e+01,1.120059379283758982e+00
1.888355765794053909e+01,1.026355730507108932e+00,1.346280565553130941e+02,1.213006546874098035e+00,6.188880313446794901e+01,1.107031759479224942e+00
1.474530211541804015e+01,1.259849590047237955e+00,1.521941452733387905e+02,1.387541601089371968e+00,7.740567514731769450e+01,1.363909723459161949e+00
1.245166198029995996e+01,9.960080116722287435e-01,8.756637205753349917e+01,1.249721041097735075e+00,4.048068838800062252e+01,1.121011269194124971e+00
1.695941959856149950e+01,1.038822289953931000e+00,1.317731939933808007e+02,1.233438508503035935e+00,5.849201900556965228e+01,1.123555742429549031e+00
1.370961083548499992e+01,1.032675833551556899e+00,1.112555817569417940e+02,1.246840657678081943e+00,4.880338456938601865e+01,1.128506626729196105e+00
1.990460323891041838e+01,1.024882158653708908e+00,1.378435247007568876e+02,1.208804489258592074e+00,6.409062333245536536e+01,1.105463701988611991e+00
1.763174893281017930e+01,1.025215648175751948e+00,1.266558826794180987e+02,1.222598004740228950e+00,5.796439231923132951e+01,1.114950046408071049e+00
2.054046477999434117e+01,1.019114520447530925e+00,1.385235869005128109e+02,1.195917085846649908e+00,6.549047107141636559e+01,1.092816939741628968e+00
